id_jogo,nome,data_lancamento,desenvolvedor,publicadora,generos,categorias,plataformas,preco,moeda,jogadores_atuais
265930,Goat Simulator,"1 Apr, 2014",Coffee Stain Studios,Coffee Stain Publishing,"Casual, Indie, Simulation","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac, linux",37.19,BRL,
1942280,Brotato,"23 Jun, 2023",Blobfish,Blobfish,"Action, Casual, Indie, RPG","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",windows,16.99,BRL,
238460,BattleBlock Theater®,"15 May, 2014",The Behemoth,The Behemoth,"Action, Adventure, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac, linux",27.99,BRL,
728880,Overcooked! 2,"7 Aug, 2018",Ghost Town Games Ltd.,Team17,"Action, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac, linux",14.97,BRL,
967050,Pacify,"22 Feb, 2019",Shawn Hitchcock,Hitchcock Games,"Action, Adventure, Casual, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing","windows, mac",16.99,BRL,
471710,Rec Room,"2 Sep, 2021",Rec Room,Rec Room,"Adventure, Casual, Massively Multiplayer, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported, SteamVR Collectibles, In-App Purchases, Includes level editor",windows,0.0,FREE,
436150,Governor of Poker 3,"19 Feb, 2016",Playtika Ltd.,Playtika Ltd.,"Casual, Massively Multiplayer, Simulation, Free To Play","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases","windows, mac",0.0,FREE,
427730,Who's Your Daddy?!,"May 13, 2016",Evil Tortilla Games,Evil Tortilla Games,"Action, Casual, Indie","Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing","windows, mac",6.99,USD,
2670630,Supermarket Simulator,"20 Feb, 2024",Nokta Games,Nokta Games,"Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",windows,59.99,BRL,
207140,SpeedRunners,"19 Apr, 2016",DoubleDutch Games,tinyBuild,"Action, Casual, Indie, Racing, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","windows, mac, linux",46.99,BRL,
431240,Golf With Your Friends,"19 May, 2020",Blacklight Interactive,Team17,"Casual, Indie, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Workshop, Partial Controller Support, Stats, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing","windows, mac, linux",23.97,BRL,
17390,SPORE™,"19 Dec, 2008",Maxis™,Electronic Arts,"Action, Adventure, Casual, RPG, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing",windows,59.0,BRL,
437900,Party Jousting,"1 Mar, 2016",vikingfabian,vikingfabian,"Casual, Indie, Sports","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play on TV, Remote Play Together",windows,0.0,FREE,
774171,Muse Dash,"Jun 19, 2019",peropero,hasuhasu,"Action, Casual, Indie","Single-player, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","windows, mac",2.99,USD,
544810,KARDS - The WW2 Card Game,"15 Apr, 2020",1939 Games,1939 Games,"Casual, Indie, Strategy, Free To Play","Single-player, Multi-player, PvP, Online PvP, In-App Purchases, Remote Play on Tablet",windows,0.0,FREE,
1408720,Krunker,"1 Feb, 2021",FRVR,FRVR,"Action, Casual","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Partial Controller Support, Includes level editor, Family Sharing","windows, mac",0.0,FREE,
470220,UNO,"Jan 3, 2017",Ubisoft Entertainment,Ubisoft Entertainment,Casual,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",windows,9.99,USD,
303390,Dead Bits,"Jun 7, 2014",Microblast Games,SA Industry,"Action, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing","windows, mac",4.99,USD,
239820,Game Dev Tycoon,"Aug 29, 2013",Greenheart Games 💚,Greenheart Games 💚,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing","windows, mac, linux",3.49,USD,
280790,Creativerse,"May 8, 2017",Playful Corp.,Playful Corp.,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Trading Cards, Steam Workshop, Family Sharing",windows,24.99,USD,
666220,CS2D,"15 Nov, 2017",Unreal Software,Unreal Software,"Action, Casual, Indie, Free To Play","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Includes level editor","windows, linux",0.0,FREE,
